MSE_pos, MSE_rot, RMSE_pos, RMSE_rot, LAT, hidden_size, epochs, batch_size, dropout
1.310983642578125,19.650141164859587,1.6865705251693726,25.43998822689838,0.1,8,3,16,0.2
1.2851980794270834,31.129795237236205,1.6429660320281982,43.50511760913185,0.1,4,1,32,0.2
1.31007763671875,26.56742715840173,1.6062767505645752,36.322369483924476,0.1,4,1,16,0.2
0.9495958658854167,22.889535128675497,1.238617181777954,30.671606721666077,0.1,8,2,32,0.2
1.3394615885416667,28.01038244277719,1.5817201137542725,33.365940429527164,0.1,8,2,16,0.2
1.1888623046875,26.85945572539294,1.3045423030853271,43.29829034240867,0.1,4,3,32,0.2
1.3395511067708334,27.203597411470366,1.596652865409851,37.97828628971348,0.1,4,2,16,0.2
1.4567044270833334,24.13823061866448,1.6300885677337646,34.44302809052899,0.1,4,3,16,0.2
1.1471866861979167,30.00639526461289,1.3212426900863647,39.076352307657764,0.1,8,1,32,0.2
1.3227996419270833,30.657502026038504,1.5820425748825073,40.715242435007134,0.1,8,1,16,0.2
0.7908059895833334,20.02132167081346,1.0889307260513306,27.592851178558956,0.1,8,3,32,0.2
0.9977970377604166,28.46049527539304,1.20936918258667,45.16028269815799,0.1,4,2,32,0.2
