Trace,LAT,mae_euc,mae_ang,rmse_euc,rmse_ang
202201251447,0.02,0.008981885500682909,0.45009913681474684,0.010076397013519249,5.684572123900378
202201251447,0.04,0.01791248119352952,0.8634216817422194,0.019938604298143706,8.024196846845218
202201251447,0.06,0.026830762546725895,1.263866117225958,0.029757820153503825,9.809156232058783
202201251447,0.08,0.035749514878699554,1.6614956210869682,0.03955747199554611,11.306102295367209
202201251447,0.1,0.04465779958057728,2.0475752698063694,0.04932169235855778,12.616607068743907
202201251450,0.02,0.006762352751017839,0.3168945594942077,0.0093118882524249,3.277261710582183
202201251450,0.04,0.013460507949998961,0.606275907878745,0.018444972687779376,4.617749835569758
202201251450,0.06,0.020136990991091216,0.8845360836014803,0.027585878340387254,5.63643757400363
202201251450,0.08,0.02680077181901869,1.1535445746563469,0.0367298318952163,6.486691763186112
202201251450,0.1,0.0334451796613354,1.408937748100044,0.04583878514408127,7.22497417580018
202201251451,0.02,0.005817732634034159,0.20787653619927948,0.007897958633030671,0.27244293665729347
202201251451,0.04,0.011584869552389573,0.3960037832412215,0.015590496188150543,0.49982200856899983
202201251451,0.06,0.017340589950607343,0.5771275041998787,0.023279423736131982,0.722218279444627
202201251451,0.08,0.02309073358808417,0.7540036042983419,0.030963680773200074,0.9407330933922721
202201251451,0.1,0.028823880158618715,0.921316027535501,0.03861918652282612,1.1452981099096409
202201251454,0.02,0.005949538779912357,0.3543602529139614,0.008249915862250016,3.3023624895659176
202201251454,0.04,0.011841620767655237,0.6869160074171123,0.016355416887770723,4.686984969060126
202201251454,0.06,0.017704018011077356,1.0067233027313423,0.024449800323659766,5.75809673294653
202201251454,0.08,0.02354663876888481,1.3149679415362028,0.032532601068026315,6.666644110239607
202201251454,0.1,0.029364667823846037,1.6102393902427972,0.04058174150885801,7.469778148187691
202201251501,0.02,0.00937666301648254,0.2703296254608183,0.010704825293681285,0.3400365169108352
202201251501,0.04,0.018683429547956834,0.49567431465798045,0.02119280166754528,0.598468628304046
202201251501,0.06,0.027981514613539562,0.7114051702357707,0.03170018650747021,0.8541961539073547
202201251501,0.08,0.03728803506943761,0.9269392948725331,0.04222231999924635,1.1119036083469214
202201251501,0.1,0.046584805484569426,1.1279415745451202,0.05271503243223574,1.3532981591502795
202201251502,0.02,0.009817544177274734,0.3814315756359684,0.010982586245855186,4.652416154803577
202201251502,0.04,0.019563618335721015,0.7168814966616877,0.021742383690392254,6.57719941023201
202201251502,0.06,0.029299343065576147,1.0395613699138238,0.032510835246067286,8.052313522474092
202201251502,0.08,0.0390429000842803,1.3597541180075223,0.04329070273029143,9.294797401862803
202201251502,0.1,0.04877867731418582,1.6667298065680127,0.05405334728831404,10.38590790140212
202201251511,0.02,0.009242118145203215,0.3175410092684249,0.010723177124378652,3.296962969216399
202201251511,0.04,0.01843159254449949,0.6101654796131025,0.021252538978805965,4.674774600869421
202201251511,0.06,0.027611586001518557,0.8929254080062109,0.03176887186234522,5.739300927685098
202201251511,0.08,0.03679123074013044,1.1690010743656996,0.04227832468070208,6.642096912779369
202201251511,0.1,0.04595982409221781,1.4348591082840998,0.05276125599374063,7.440924985778442
202201251513,0.02,0.008055099088461576,0.27726755242316975,0.00929084774544837,0.3390565506630207
202201251513,0.04,0.016051179645546233,0.530562793259492,0.018420165583333425,0.6373961777199771
202201251513,0.06,0.024042148374818783,0.7763749308791071,0.02756386446649826,0.9302539427403859
202201251513,0.08,0.03203728413749297,1.017182964539629,0.03671717043403028,1.2177653240737074
202201251513,0.1,0.04002487256872803,1.2484764587591923,0.045851790944194094,1.4936104403408466
